order_id,amount,profit,quantity,category_id
B-25601,1275.0,-1148.0,7,1
B-25614,494.0,54.0,4,1
B-25618,362.0,127.0,1,1
B-25638,182.0,-11.0,3,1
B-25643,1061.0,-36.0,8,1
B-25651,200.0,-60.0,4,1
B-25664,83.0,-48.0,1,1
B-25667,516.0,69.0,4,1
B-25670,656.0,-36.0,2,1
B-25718,371.0,115.0,1,1
B-25718,460.0,31.0,3,1
B-25724,168.0,-51.0,2,1
B-25726,490.0,-128.0,8,1
B-25745,670.0,15.0,5,1
B-25747,877.0,395.0,2,1
B-25749,1052.0,-82.0,3,1
B-25750,73.0,-31.0,1,1
B-25752,1361.0,197.0,9,1
B-25755,257.0,-3.0,2,1
B-25755,593.0,213.0,4,1
B-25756,204.0,-276.0,3,1
B-25756,729.0,-492.0,5,1
B-25761,2188.0,1050.0,5,1
B-25770,375.0,180.0,3,1
B-25770,299.0,113.0,2,1
B-25786,1854.0,433.0,5,1
B-25789,313.0,-13.0,5,1
B-25797,148.0,-101.0,2,1
B-25798,2830.0,-1981.0,13,1
B-25832,504.0,116.0,3,1
B-25840,246.0,61.0,2,1
B-25840,298.0,74.0,2,1
B-25851,336.0,71.0,3,1
B-25855,197.0,73.0,1,1
B-25857,598.0,166.0,4,1
B-25858,223.0,27.0,2,1
B-25859,724.0,253.0,2,1
B-25862,2061.0,701.0,5,1
B-25878,741.0,267.0,5,1
B-25885,394.0,146.0,2,1
B-25894,1246.0,62.0,3,1
B-25895,388.0,93.0,2,1
B-25902,268.0,6.0,2,1
B-25904,871.0,131.0,2,1
B-25929,1308.0,536.0,3,1
B-25930,595.0,119.0,4,1
B-25937,1101.0,352.0,3,1
B-25945,245.0,10.0,2,1
B-25951,742.0,198.0,2,1
B-25953,1218.0,352.0,9,1
B-25955,2927.0,146.0,8,1
B-25957,1157.0,-13.0,9,1
B-25960,171.0,-140.0,2,1
B-25961,366.0,84.0,3,1
B-25962,544.0,-152.0,3,1
B-25969,2452.0,191.0,7,1
B-25970,742.0,198.0,2,1
B-25971,244.0,83.0,2,1
B-25974,662.0,240.0,2,1
B-25979,284.0,45.0,2,1
B-25981,245.0,91.0,2,1
B-25983,561.0,118.0,5,1
B-25989,330.0,81.0,1,1
B-25995,1314.0,342.0,3,1
B-25997,2292.0,127.0,7,1
B-26007,311.0,72.0,2,1
B-26023,1117.0,447.0,10,1
B-26033,143.0,32.0,1,1
B-26051,676.0,195.0,5,1
B-26051,669.0,74.0,5,1
B-26053,246.0,61.0,2,1
